business_name,phone,business_address,city,state,website,rating,reviews,qr_token,qr_code_url,campaign_id,campaign_batch
Robs Garage Door - Repair,+17343015959,"240 Kansas Ave, Ypsilanti, MI 48198",Ypsilanti,MI,https://robsgaragedoor.com/,5,459,f2986d4366d2,https://track.hammondsolutions.us/q/f2986d4366d2,GD-BATCH-001,BATCH-2026-09-01
A and R Garage Doors,+17343836759,"2202 Woodview Dr, Ypsilanti, MI 48198",Ypsilanti,MI,,4.9,86,11865c2eba0a,https://track.hammondsolutions.us/q/11865c2eba0a,GD-BATCH-001,BATCH-2026-09-01
Chad Hopkins Custom Doors,+18103095631,"1017 N Leroy St, Fenton, MI 48430",Fenton,MI,,4.9,44,052798d5a077,https://track.hammondsolutions.us/q/052798d5a077,GD-BATCH-001,BATCH-2026-09-01
Garage Door Pros,+17344362042,"3864 Trade Center Dr, Ann Arbor, MI 48108",Ann Arbor,MI,https://garagedoorprosmi.com/garage-door-repair-ann-arbor-mi/,4.9,4786,add99c543b50,https://track.hammondsolutions.us/q/add99c543b50,GD-BATCH-001,BATCH-2026-09-01
Jones & Jones Garage Door Service,+12316330204,"7616 Sophie's Way, Harbor Springs, MI 49740",Harbor Springs,MI,http://jjdoorservice.com/,4.9,118,ccf657e25bbe,https://track.hammondsolutions.us/q/ccf657e25bbe,GD-BATCH-001,BATCH-2026-09-01
Aman Garage Door Repair,+17345798440,"2315 Jonathan Ct, Ann Arbor, MI 48108",Ann Arbor,MI,https://amangarage.com/,5,156,8d1dd2cd1fdd,https://track.hammondsolutions.us/q/8d1dd2cd1fdd,GD-BATCH-001,BATCH-2026-09-01
Carey's Door Services,+15175437540,"209 State St, Charlotte, MI 48813",Charlotte,MI,,4.6,18,d853c8e56104,https://track.hammondsolutions.us/q/d853c8e56104,GD-BATCH-001,BATCH-2026-09-01
A1 Garage Door Service,+15172342836,"815 W Edgewood Blvd Ste E, Lansing, MI 48911",Lansing,MI,https://a1garage.com/areas-served/lansing-mi-garage-door-repair-installation-near-you/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbpwebsite%5Blansing%5D,4.9,3149,879371a81e32,https://track.hammondsolutions.us/q/879371a81e32,GD-BATCH-001,BATCH-2026-09-01
Ingstrup Garage Doors,+15173764199,"4624 S Creyts Rd, Lansing, MI 48917",Lansing,MI,https://www.ingstrupdoors.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgbp,5,2202,c7f979ee23a2,https://track.hammondsolutions.us/q/c7f979ee23a2,GD-BATCH-001,BATCH-2026-09-01
"REPAIRIFY KEYS, LLC",+19896009315,"3410 Belle Chase Way, Lansing, MI 48911",Lansing,MI,,4.8,23,50cd393aecee,https://track.hammondsolutions.us/q/50cd393aecee,GD-BATCH-001,BATCH-2026-09-01
Dover Doors & Windows (Lansing),+15172730919,"3110 Turner Rd Unit E, Lansing, MI 48906",Lansing,MI,https://www.dovercompany.com/,4.9,57,3eb5ecfc4dd1,https://track.hammondsolutions.us/q/3eb5ecfc4dd1,GD-BATCH-001,BATCH-2026-09-01
Low Cost Garage Door Repair,+12486212079,"4527 Middlebury Dr SE, Kentwood, MI 49512",Kentwood,MI,,4.9,30,a7e51f91ec9a,https://track.hammondsolutions.us/q/a7e51f91ec9a,GD-BATCH-001,BATCH-2026-09-01
Overhead Door Company of Lansing,+15173019974,"2045 E Saginaw St, East Lansing, MI 48823",East Lansing,MI,http://www.michiganoverheaddoors.com/,4.6,99,3a4ef1fff37d,https://track.hammondsolutions.us/q/3a4ef1fff37d,GD-BATCH-001,BATCH-2026-09-01
M&M Garage Doors,+15862046311,"57575 Rosell Rd #100, New Haven, MI 48048",New Haven,MI,https://mandmdoors247.com/new-haven/%3Futm_source%3Dorganic%26utm_medium%3Dorganic%26utm_campaign%3Dgoogle%26utm_id%3Dgbp%26utm_term%3Dgbp%26utm_content%3Dnew-haven,5,2974,37ac57dab9e8,https://track.hammondsolutions.us/q/37ac57dab9e8,GD-BATCH-001,BATCH-2026-09-01
5 Star Garage Door repair LLC,+15867132715,"5420 County Line Rd, New Haven, MI 48048",New Haven,MI,,4.9,96,79cef699c72e,https://track.hammondsolutions.us/q/79cef699c72e,GD-BATCH-001,BATCH-2026-09-01
Cheap & Fast Garage Doors,+15868008537,"13543 Dominic Dr, Warren, MI 48088",Warren,MI,,4.9,35,308eeec9e9a0,https://track.hammondsolutions.us/q/308eeec9e9a0,GD-BATCH-001,BATCH-2026-09-01
AAA Garage Door Repair and Service,+18444261588,"58596 Virginia Cir, New Haven, MI 48048",New Haven,MI,,4.9,40,d611bd74fbe0,https://track.hammondsolutions.us/q/d611bd74fbe0,GD-BATCH-001,BATCH-2026-09-01
Blitz Garage Door Repair,+19472363788,"24002 Haggerty Rd, Farmington, MI 48335",Farmington,MI,https://blitzgaragefarmington.com/,5,237,97603069ba84,https://track.hammondsolutions.us/q/97603069ba84,GD-BATCH-001,BATCH-2026-09-01
Pure Michigan Garage Door LLC,+12312509451,"2892 W 12th St, White Cloud, MI 49349",White Cloud,MI,https://puremigaragedoor.com/,4.9,79,282abe331c2b,https://track.hammondsolutions.us/q/282abe331c2b,GD-BATCH-001,BATCH-2026-09-01
Mid Michigan Garage Door,+19897043667,"760 N. Bay Mid Line Rd, Linwood, MI 48634",Linwood,MI,https://www.midmichigangaragedoor.com/linwood-mi,,,e3a4a00dcbe6,https://track.hammondsolutions.us/q/e3a4a00dcbe6,GD-BATCH-001,BATCH-2026-09-01
